Title,"Variant Sku",Type,"Variant Price","Variant Barcode","Variant ASIN","Variant MPN","Body (HTML)"
"puma tshirt",iuyiyuiu1,Parent,125.00,,,,puma_bags puma_bags puma_bags
"puma tshirt",iuyiyuiu2,Variants,125.00,,,,puma_bags puma_bags puma_bags
"puma tshirt",iuyiyuiu3,Variants,125.00,,,,puma_bags puma_bags puma_bags
,pumateestest,"No Variants",125655.00,9668954858555,,,"hgfch ghdhfgh dhfgd hpuma_teespuma_teespuma_tees puma_teespuma_tees puma_teespuma_teespuma_tees"
,630509453122,"No Variants",1260.00,987875878768,,Testing2600,Testing2600
,ced-36156498252588_check,"No Variants",70.00,,,ced-36156498252588_check,lancer_shoes lancer_shoes_check
,puma_watch,"No Variants",125.00,1111123145,,puma_watch,puma_watch
,wrisht-412,"No Variants",150.00,5685695362,,wrisht-412,"<p>denim_jeans5656 jddfg</p>

<p>change sassddd on 13:06</p>

<p>jhbhj</p>
"
"levis_jeans watch",leviswatch3654,Parent,4861.00,,,,"<p>levis_jeansdd</p>
<p>ddddyu</p>
<p>[</p>
<ul>
<li>k</li>
<li>hj</li>
<li>hj</li>
</ul>"
"levis_jeans watch",levisjeans2,Variants,90.00,,,,"<p>levis_jeansdd</p>
<p>ddddyu</p>
<p>[</p>
<ul>
<li>k</li>
<li>hj</li>
<li>hj</li>
</ul>"
"levis_jeans watch",levismed44,Variants,18001545216.00,,,,"<p>levis_jeansdd</p>
<p>ddddyu</p>
<p>[</p>
<ul>
<li>k</li>
<li>hj</li>
<li>hj</li>
</ul>"
puma_sling_bags,pumaslingbags78,Parent,125.00,9898989898,,,"puma_sling_bags puma_sling_bags"
puma_sling_bags,pumaslingbags80,Variants,125.00,9898989898,,,"puma_sling_bags puma_sling_bags"
puma_sling_bags,pumaslingbags79,Variants,125.00,9898989898,,,"puma_sling_bags puma_sling_bags"
,vari_test126,"No Variants",125.00,159874562568,,vari_test126,sadfsafasfassafsaf
,test_990,"No Variants",125.00,,,test_990,dsafdsfadsfafad
,dummy-1,"No Variants",40.00,12345678950,,dummy-1,kllllllllllllllllllllxcvxcv
,630509503483,"No Variants",125.00,987875878764,,testsimple123,testsimple123
,testproduct1341,"No Variants",185.00,556644118823,,jhgjghk57,testproduct134testt11111
steveproduct,steveproduct236,Parent,125.00,,,,steveproduct
steveproduct,steve87hg,Variants,125.00,,,,steveproduct
,ced-36156498252,"No Variants",60.00,,,ced-36156498252,hfdh
,wapper,"No Variants",125.00,,,wapper,testwapper
,ced-36387373004,"No Variants",120.00,,,ced-36387373004,producttest1
,ced-36387454412,"No Variants",125.00,14523698547,,ced-36387454412,producttest2
,producttest3,"No Variants",125.00,,,producttest3,producttest3
,producttest4,"No Variants",125.00,14523698745,,producttest4,producttest4
,erer,"No Variants",125.00,,,erer,rte
,sku-12324,"No Variants",115.00,5855555,,sku-12324,"<h1>Testt    xcvcxvcv hdf</h1>
<p>hdfgfd</p>
<p>hdfg</p>
<p>jfhg</p>
<p> </p>"
,93,"No Variants",55525.00,758578575778,"  ",,758hjklhkl
,testhiddenproduct,"No Variants",125.00,,,testhiddenproduct,"test hidden products"
,walmarttest,"No Variants",125.00,,,walmarttest,testhiddenproduct2testhiddenproduct2
variant99,variant77,Parent,125.00,3333333333333,,,variant88variant88variant88variant88
variant99,variant78,Variants,125.00,88888888888,,,variant88variant88variant88variant88
variant99,variant79,Variants,125.00,3333333333333,,,variant88variant88variant88variant88
variant99,variant80,Variants,125125.00,3333333333333,,,variant88variant88variant88variant88
"men's snowboard1",snow11,Parent,188.00,0000222222222,,,fhfh
"men's snowboard1",snow12,Variants,198.00,12566998,,,fhfh
"men's snowboard1",snow23,Variants,218.00,235698562354235,,,fhfh
,test545,"No Variants",125.00,,,test545,test5t
,test677,"No Variants",130.00,8786564321234,,test677,test677
,dfgdgg,"No Variants",2000125.00,45645654653,,,tshirt-111
,tew,"No Variants",125.00,1231241414,,,tew
,ced40289828428,"No Variants",125.00,42587257257,,,dsdsad
"swatches test",swatches,Parent,125.00,,,,"swatches test"
"swatches test",swatches2,Variants,125.00,,,,"swatches test"
"swatches test",swatches3,Variants,125.00,,,,"swatches test"
,TESTTEST,"No Variants",125.00,,,,
,retst11,"No Variants",125.00,43545454545656,,,retst11retst11retst11retst11retst11
,testnew454,"No Variants",89.00,,,,testnew454
"test variants on newegg",assadsadsaddsfew1,Parent,10.00,,,,"test variants on newegg"
"test variants on newegg",assad20sadsaddsfew5,Variants,10.00,,,,"test variants on newegg"
"test variants on newegg",20assadsadsaddsfew9,Variants,10.00,,,,"test variants on newegg"
"test variants on newegg",assadsads20addsfew2,Variants,10.00,,,,"test variants on newegg"
"test variants on newegg",assa20dsadsaddsfew6,Variants,10.00,,,,"test variants on newegg"
"test variants on newegg",assadsad20saddsfew3,Variants,10.00,,,,"test variants on newegg"
"test variants on newegg",ass20adsadsaddsfew7,Variants,10.00,,,,"test variants on newegg"
"test variants on newegg",assadsa20dsaddsfew4,Variants,10.00,,,,"test variants on newegg"
"test variants on newegg",a20ssadsadsaddsfew8,Variants,10.00,,,,"test variants on newegg"
ced-34722028940ssss,ced34722028940ssss1,Parent,10.00,458565782545,,,"<p>ced-34722028940ssss</p>
"
