Sku,Errors
iuyiyuiu1,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
iuyiyuiu2,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
iuyiyuiu3,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
leviswatch3654,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
levisjeans2,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
levismed44,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
pumaslingbags78,"Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
pumaslingbags79,"Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
pumaslingbags80,"Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
steveproduct236,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
steve87hg,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
ced-36156498252,"Missing or Invalid Image,"
erer,"Invalid Title (between 5 to 500 characters), "
variant77,"Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
variant78,"Attribute not mapped, "
variant79,"Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
variant80,"Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
snow11,"Attribute not mapped, "
snow12,"Attribute not mapped, "
snow23,"Attribute not mapped, "
dfgdgg,"Missing or Invalid Image, Invalid Barcode or ASIN or MPN, "
tew,"Invalid Title (between 5 to 500 characters),  Missing or Invalid Image,"
ced40289828428,"Missing or Invalid Image, Invalid Barcode or ASIN or MPN, "
swatches,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
swatches2,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
swatches3,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
TESTTEST,"Invalid Title (between 5 to 500 characters),  Missing or Invalid Image, Missing unique identifier,  Invalid Barcode or ASIN or MPN, "
retst11,"Missing or Invalid Image,"
testnew454,"Missing or Invalid Image, Missing unique identifier,  Invalid Barcode or ASIN or MPN, "
assadsadsaddsfew1,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
assadsads20addsfew2,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
assadsad20saddsfew3,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
assadsa20dsaddsfew4,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
assad20sadsaddsfew5,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
assa20dsadsaddsfew6,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
ass20adsadsaddsfew7,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
a20ssadsadsaddsfew8,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
20assadsadsaddsfew9,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
ced34722028940ssss2,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN, "
ced34722028940ssss3,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN, "
ced34722028940ssss4,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN, "
ced34722028940ssss5,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN, "
ced34722028940ssss6,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN, "
ced34722028940ssss7,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN, "
ced34722028940ssss8,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN, "
2866,"Invalid Title (between 5 to 500 characters),  Missing unique identifier,  Invalid Price,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped,  Missing unique identifier,  Invalid Price,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
variants14,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN, "
variants16,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN, "
neweggVariantsProduct1,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
neweggVariantsProduct2,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
neweggVariantsProduct3,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
neweggVariantsProduct4,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
neweggVariantsProduct5,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
neweggVariantsProduct6,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
neweggVariantsProduct7,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
neweggVariantsProduct8,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
neweggVariantsProduct9,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
cxczx,"Missing or Invalid Image,"
testagainnewe,"Missing or Invalid Image,"
abc1212,"Invalid Title (between 5 to 500 characters), "
abc123,"Invalid Title (between 5 to 500 characters), "
16,"Invalid/Missing Barcode or ASIN or MPN, "
trouser66,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
trouser67,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
trouser68,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
mo2,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
mo3,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
mo4,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
je3,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
je4,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
je5,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
tv67,"Missing or Invalid Image, Missing unique identifier,  Invalid Barcode or ASIN or MPN, "
pen1,"Invalid Title (between 5 to 500 characters), "
ha3,"Invalid Title (between 5 to 500 characters), "
skirt80,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
skirt81,"Attribute not mapped, "
pens1,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
pens2,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
pens3,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
lens12,"Invalid Title (between 5 to 500 characters), "
ced_98631352345,"Missing unique identifier,  Invalid Barcode or ASIN or MPN, "
product231,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
product232,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
sunglass123,"Missing unique identifier,  Invalid/Missing Barcode or ASIN or MPN,  Attribute not mapped, "
